*,SC
NAME,ADDRESS
이성환동물병원,서울특별시 서초구 방배로 232 (방배동)
이강남동물병원,서울특별시 서초구 바우뫼로 179 (양재동)
유림동물안과병원,"서울특별시 서초구 강남대로 631, 1층 (잠원동, 크레신타워)"
닥터은동물병원,
남서울동물병원,서울특별시 서초구 방배로34길 12 (방배동)
서초동물병원,서울특별시 서초구 효령로57길 4 (서초동)
서울동물병원,
에덴동물병원,"서울특별시 서초구 도구로 115-1 (방배동,1층)"
서이동물병원,"서울특별시 서초구 사임당로 139, 104호 (서초동)"
신반포종합동물병원,서울특별시 서초구 서초중앙로 245 (반포동)
우리들의동물병원,"서울특별시 서초구 사임당로 99 (서초동,1층)"
레스펫동물병원,"서울특별시 서초구 논현로 173, 동리빌딩 1층 (양재동)"
마이펫동물병원,"서울특별시 서초구 사평대로 130 (반포동,1층 가호)"
노아동물병원,
방배종합동물병원,서울특별시 서초구 동광로 75 (방배동)
마리오동물병원,
라파엘동물병원,서울특별시 서초구 강남대로 525-3 (반포동)
한강동물병원,"서울특별시 서초구 신반포로 49 (반포동,반포상가 M-16호)"
두코동물병원,
킴스동물병원,"서울특별시 서초구 신반포로 49 (반포동,구반포상가 M동 14호)"
잠원동물병원,
방배한강동물병원,"서울특별시 서초구 방배로 204 (방배동,지상1층)"
강남동물병원,"서울특별시 서초구 강남대로 489 (반포동,지상1층)"
정원동물병원,"서울특별시 서초구 고무래로 90-7 (서초동,서초쇼핑2층10호)"
우성동물의료센터,서울특별시 서초구 주흥길 3 (반포동)
코아동물병원,"서울특별시 서초구 신반포로 219 (잠원동,반포쇼핑타운 8동 405호)"
더독동물병원,"서울특별시 서초구 신반포로3길 8 (반포동,반포프라자 지하1층)"
신세계동물병원,
(주)아크리스동물병원,"서울특별시 서초구 강남대로 196 (양재동,구민빌딩 2층)"
삼호동물병원,"서울특별시 서초구 방배로 269 (방배동,삼호상가 109호)"
21세기동물병원,"서울특별시 서초구 강남대로83길 23 (반포동,지상1층)"
엔터펫동물병원,"서울특별시 서초구 고무래로 10-7 (반포동,장성빌딩 1층)"
동원동물병원,
My Friends 동물병원,
STAR 동물종합병원,"서울특별시 서초구 신반포로 330 (반포동,1층)"
수동물병원,서울특별시 서초구 방배중앙로 149 (방배동)
내방동물병원,"서울특별시 서초구 서초대로 108, 2층 (방배동)"
24시열린동물병원,"서울특별시 서초구 서초중앙로 99 (서초동,1층)"
한국수의과학연구소부설동물병원,"서울특별시 서초구 신반포로47길 18-6 (잠원동,1층)"
잠원동물병원,
엔터펫 종합동물병원,서울특별시 서초구 반포대로21길 23 (서초동)
펫스테이션 클리닉센터,
두코동물병원,
한강동물병원서초점,"서울특별시 서초구 효령로 200 (서초동,문화빌딩 101호)"
메디펫 동물병원,서울특별시 서초구 효령로 384 (서초동)
포포즈동물의료센터,"서울특별시 서초구 동작대로 36, 1,2층 (방배동, 대광빌딩)"
(주)펫프렌즈 반포동물병원,
21세기동물병원,
닥터캣연구원 동물병원,"서울특별시 서초구 효령로53길 45 (서초동,이오빌1505호)"
두코동물병원,"서울특별시 서초구 사평대로53길 27 (반포동,1층)"
우면동물병원,"서울특별시 서초구 바우뫼로7길 8, 201호 (우면동,우면세신상가)"
사랑의동물병원,서울특별시 서초구 마방로6길 18 (양재동)
한 동물병원,서울특별시 서초구 동산로 66 (양재동)
잠원동물병원,
서울동물병원,"서울특별시 서초구 효령로 229 (서초동,(지상1층))"
이상록동물병원,"서울특별시 서초구 나루터로 37, 신사쇼핑센터 1층 102-2호 (잠원동)"
엔터펫동물병원,"서울특별시 서초구 효령로49길 52 (서초동,지상1층)"
21세기동물병원,"서울특별시 서초구 강남대로83길 23 (반포동,지상1층)"
예스동물병원,"서울특별시 서초구 서초대로 325 (서초동,지상1층)"
잠원동물병원,
반포동물병원,
우성메디펫동물병원,
다니엘동물병원,"서울특별시 서초구 효령로 214, 삼양빌딩 2층 (서초동)"
교대동물병원,"서울특별시 서초구 서초대로 325 (서초동,지상1층)"
스누피동물병원,
바이오-벳,서울특별시 서초구 남부순환로333길 42 (서초동)
서래동물병원,서울특별시 서초구 서래로 38 (반포동)
쿨펫동물병원,
한나동물병원,"서울특별시 서초구 방배로 269, 109호 (방배동, 삼호상가)"
프렌즈동물병원,"서울특별시 서초구 방배로 76, 머리재빌딩 1층 105호 (방배동)"
열린동물병원,"서울특별시 서초구 서초중앙로 99 (서초동,1층)"
주아동물병원,
쿨펫동물병원,"서울특별시 서초구 신반포로 176 (반포동,지상 1층)"
임갑미동물병원,"서울특별시 서초구 신반포로 257, 뉴타운 1층 (잠원동)"
리즈동물병원,"서울특별시 서초구 잠원로 221, 상가동 2층 (잠원동, 한강아파트)"
강남서초동물병원,서울특별시 서초구 사임당로 97 (서초동)
한국스템셀동물메디컬센터,"서울특별시 서초구 사평대로 80 (반포동,카리스빌딩 1,2층)"
화인종합동물병원,"서울특별시 서초구 서초대로4길 4 (방배동,대진빌딩1층)"
두리종합동물병원,"서울특별시 서초구 반포대로 287, 래미안퍼스티지 중심상가 1층 147,148호 (반포동)"
디아나동물병원,"서울특별시 서초구 방배로 119, 1층 (방배동)"
펫프렌즈동물병원양재,
반포자이동물병원,"서울특별시 서초구 사평대로45길 10-25 (반포동,반포자이주구중심상가 102,108호)"
에이스동물병원,
반려동물 의료센터 다울,"서울특별시 서초구 효령로 95, 우성빌딩 1층 (방배동)"
넥스펫동물병원,
해치동물병원,
24시예스동물병원,"서울특별시 서초구 잠원로 24 (반포동,반포자이프라자 133호)"
반포자이동물병원,서울특별시 서초구 사평대로45길 10-25 (반포동)
하나동물병원,"서울특별시 서초구 헌릉로8길 10-12, 1층 3호 (신원동, 힐스테이트서초잰트리스)"
이리온 for 몰리스,"서울특별시 서초구 매헌로 16, 지1층 (양재동, 이마트 양재점)"
야셀동물병원,"서울특별시 서초구 서초대로 3-4, 지하1층 111호 (방배동, 방배디오슈페리움1)"
이리온 for 몰리스,서울특별시 서초구 매헌로 16 (양재동)
이리온 양재점,"서울특별시 서초구 매헌로 16, 지하1층 (양재동, 이마트 양재점)"
꿈꾸는 동물병원,"서울특별시 서초구 서초중앙로 238, 106호 (반포동, 반포리체상가)"
에이블 동물병원,서울특별시 서초구 바우뫼로 211 (양재동)
강남서초 동물병원,"서울특별시 서초구 사임당로 97, 1층 (서초동)"
아델 동물병원,"서울특별시 서초구 반포대로 45, 1층 (서초동, 명성빌딩)"
동물제중원금손이 동물병원,"서울특별시 서초구 서초대로 124, 101호 (방배동, 선빌딩)"
한나동물병원,"서울특별시 서초구 방배로 269, 109호 (방배동)"
치료멍멍 동물의료센터,서울특별시 서초구 사평대로 68 (반포동)
서초힐스동물병원,서울특별시 서초구 태봉로2길 30 (우면동)
반포한강동물병원,"서울특별시 서초구 신반포로 49, M-16호 (반포동)"
헤이븐동물병원 방배서래점,서울특별시 서초구 방배로 232 (방배동)
아이비동물병원,"서울특별시 서초구 효령로 229, 108호 (서초동)"
헬릭스동물메디컬센터,"서울특별시 서초구 신반포로 162 (반포동, 르본시티 2층)"
에이원동물병원,"서울특별시 서초구 반포대로 89, 1층 (서초동, 유민빌딩)"
여울동물병원,"서울특별시 서초구 방배로 28, 1층 5호 (방배동, 덕산빌딩)"
VIP동물의료센터 서초동작점,"서울특별시 서초구 동작대로 36, 1,2층 (방배동, 대광빌딩)"
서초M동물의료센터,"서울특별시 서초구 사임당로 78, 1층 (서초동, 유미원)"
다스림 양한방 동물병원,"서울특별시 서초구 효령로 347, 서광빌딩 101호 (서초동)"
이삭동물병원,"서울특별시 서초구 방배천로8길 34, 1층 (방배동)"
신세계동물병원,"서울특별시 서초구 신반포로 143, 경남쇼핑센터 1층 8호 (반포동)"
신세계 동물병원,"서울특별시 서초구 반포대로 287, 래미안퍼스티지 중심상가 1층 143호 (반포동)"
아이비 동물병원,"서울특별시 서초구 효령로 229, 108호 (서초동)"
햇살아래 동물병원,"서울특별시 서초구 태봉로 62, 네이처프라자 203호 (우면동)"
심바동물병원,"서울특별시 서초구 서초대로4길 4, 대진빌딩 1층 (방배동)"
해뜨는 동물병원 해질녘책방,"서울특별시 서초구 신반포로 257, 뉴타운 지하1층 (잠원동)"
헤이븐동물병원,"서울특별시 서초구 동광로 15, 1층 (방배동)"
이을반려동물케어센터,"서울특별시 서초구 사평대로20길 3, 신화빌딩 1층 (반포동)"
도그스데이 동물병원,"서울특별시 서초구 강남대로12길 23-13, 엄지빌딩 1층 (양재동)"
V+care 동물병원,"서울특별시 서초구 강남대로79길 32, 제이디 빌딩 1층 (반포동)"
에이비씨(ABC)동물병원,"서울특별시 서초구 사임당로 151, 대한무지개종합상가 1층 103호 (서초동)"
서초이음동물병원,"서울특별시 서초구 효령로 347, 서광빌딩 1층 (서초동)"
서울종합동물병원방배,"서울특별시 서초구 방배로19길 19, 1층 (방배동)"
