*,YD
NAME,ADDRESS
대림동물병원,서울특별시 영등포구 신길로 42 (신길동)
대방동물병원,서울특별시 영등포구 여의대방로35길 1 (신길동)
와우동물병원,서울특별시 영등포구 대림로 154 (대림동)
인성동물병원,서울특별시 영등포구 여의대방로39길 33-2 (신길동)
영등포동물병원,서울특별시 영등포구 당산로 96 (당산동1가)
도림동물병원,서울특별시 영등포구 도신로 106 (신길동)
토론토동물병원,
신풍동물종합병원,서울특별시 영등포구 신길로 70 (신길동)
참 동물병원,서울특별시 영등포구 영등포로76길 1 (신길동)
강쥐생각동물병원,"서울특별시 영등포구 영신로 22-2 (영등포동,1층)"
우신종합동물병원,서울특별시 영등포구 신길로 168 (신길동)
초이동물병원,
두암동물병원,서울특별시 영등포구 도림로 153 (대림동)
우리동물병원,서울특별시 영등포구 여의대방로68길 15 (여의도동)
한국동물병원,서울특별시 영등포구 여의대방로 201 (신길동)
제일동물병원,
성모종합동물병원,
조은동물병원,서울특별시 영등포구 시흥대로 649 (대림동)
여의도동물병원,"서울특별시 영등포구 여의대방로 417 (여의도동,대교A상가 113호)"
프랜드동물병원,"서울특별시 영등포구 영중로 145 (영등포동8가,삼환아파트상가 114호)"
삼성동물병원,
문래동물병원,
서울동물병원,서울특별시 영등포구 영중로27길 10 (영등포동7가)
당산동물병원,
도그플러스 동물병원,"서울특별시 영등포구 당산로 42 (문래동3가,홈프러스 4층)"
토론토동물병원,서울특별시 영등포구 양평로 6-1 (당산동6가)
현대 동물병원,서울특별시 영등포구 선유로 104 (양평동1가)
초이동물병원,서울특별시 영등포구 대림로 203 (대림동)
마루동물병원,
애드펫동물병원,"서울특별시 영등포구 선유서로 67, 104동 131호 (양평동2가,신동아하이팰리스상가)"
영등포동물병원,서울특별시 영등포구 당산로 96 (당산동1가)
아프리카동물병원,서울특별시 영등포구 시흥대로 647 (대림동)
디오빌 동물병원,"서울특별시 영등포구 당산로 222 (당산동5가,당산디오빌 1층 103-3)"
Dr.수동물병원,"서울특별시 영등포구 국제금융로 79 (여의도동,롯데슈퍼 2층)"
아프리카 동물병원,서울특별시 영등포구 시흥대로 647 (대림동)
(주)러브펫동물병원,"서울특별시 영등포구 영중로 15, 지하1층 102호 (영등포동4가, 타임스퀘어)"
수 동물병원,
온누리 종합동물병원,"서울특별시 영등포구 도신로 186 (신길동,2층)"
포레스트동물병원,"서울특별시 영등포구 영중로 145, 1층 114호 (영등포동8가, 삼환상가)"
유석동물병원,서울특별시 영등포구 여의대방로 11 (신길동)
Dr.홍 동물병원,"서울특별시 영등포구 선유로 59, 105호 (문래동6가)"
I-pet 동물병원,"서울특별시 영등포구 여의동로3길 10 (여의도동,자이상가 501동 109호)"
왈츠동물병원,서울특별시 영등포구 가마산로 324 (대림동)
도그플러스동물병원,"서울특별시 영등포구 당산로 42, 4층 (문래동3가, 삼성홈플러스빌딩)"
영등포동물병원,서울특별시 영등포구 영등포로 131-2 (당산동1가)
펫가든동물병원,"서울특별시 영등포구 영중로 125, 빅마켓 1층 (영등포동8가)"
24시 수동물메디컬센터,서울특별시 영등포구 영등포로 85-1 (양평동1가)
한가람동물의료센터,서울특별시 영등포구 도신로 252 (신길동)
미소로동물병원,서울특별시 영등포구 영신로 238 (영등포동8가)
여의도동물병원은하점,"서울특별시 영등포구 국제금융로 108, 4층 (여의도동, 은하빌딩)"
여의도동물병원대교점,"서울특별시 영등포구 여의대방로 417, 113호 (여의도동, 대교A상가)"
미소로동물병원,"서울특별시 영등포구 영신로 238, 미소로 1, 2층 107, 204호 (영등포동8가)"
선유동물병원,서울특별시 영등포구 양평로 106 (양평동4가)
이든동물의료센터,"서울특별시 영등포구 양평로 5, 1층,2층 (당산동5가, 천우빌딩)"
위즈펫동물병원VIC영등포점,서울특별시 영등포구 영중로 125 (영등포동8가)
여의도동물병원대교점,"서울특별시 영등포구 여의대방로 417, 113호 (여의도동, 대교아파트상가)"
여의도동물병원은하점,"서울특별시 영등포구 국제금융로 108, 4층 (여의도동, 은하빌딩)"
아프리카동물병원,"서울특별시 영등포구 시흥대로 647, 1층 (대림동)"
경인동물의료센터,"서울특별시 영등포구 경인로 832, 1층 (영등포동, 대성빌딩)"
24시수동물메디컬센터,"서울특별시 영등포구 영등포로 85-1, 1층 (양평동1가)"
아람동물병원,"서울특별시 영등포구 도신로 225-1, 1층 (신길동, 정일빌딩)"
여의도동물병원대교점,"서울특별시 영등포구 여의대방로 417, 113호 (여의도동)"
여의도 동물병원,"서울특별시 영등포구 국제금융로 108, 4층 (여의도동, 미라클빌딩)"
이든동물의료센터,"서울특별시 영등포구 양평로 5, 1,2층 (당산동5가, 성원빌딩)"
신길 온동물병원,"서울특별시 영등포구 신풍로 77, 상가동 C119호 (신길동, 래미안에스티움)"
사랑동물병원,"서울특별시 영등포구 선유로 146, 이앤씨드림타워 102호 (양평동3가)"
사랑동물병원,"서울특별시 영등포구 선유로 146, 이앤씨드림타워 102호 (양평동3가)"
사랑의 동물병원,"서울특별시 영등포구 양평로24길 9, 1층 12호 (양평동5가, 양평동한신아파트)"
24시 수 동물메디컬센터,"서울특별시 영등포구 영등포로 85-1, 1, 2, 지층 (양평동1가)"
그림책 읽어주는 동물병원,"서울특별시 영등포구 당산로36길 12, 111호 (당산동4가, 당산2차삼성아파트)"
라이프 동물병원,"서울특별시 영등포구 가마산로 442, 상가동 B207, 208호 (신길동, 래미안프레비뉴)"
영등포아크로 동물병원,"서울특별시 영등포구 국회대로54길 10, 근린생활시설 6동 2호 (영등포동7가, 아크로타워 스퀘어)"
캣앤캣 고양이 병원,"서울특별시 영등포구 선유로 76, 동국메뜨리앙 206호 (문래동3가)"
러브펫 동물병원,"서울특별시 영등포구 영중로 15, 타임스퀘어 지하층 B104호 (영등포동4가)"
플러스동물메디컬센터,"서울특별시 영등포구 양평로12가길 14, 르네상스 한강 오피스텔 1층 103호 (양평동4가)"
